totTime, numVirus, numCellInfect, numCellUninfect, numLatentComp, numLatentIncomp
15.689624, 36785309, 139328, 37890, 1233, 23766 
15.694337, 36743672, 139138, 37912, 1233, 23768 
15.699054, 36701926, 138981, 37920, 1233, 23770 
15.703779, 36660433, 138836, 37945, 1233, 23773 
15.708506, 36619772, 138698, 37968, 1233, 23775 
15.713241, 36579212, 138549, 38009, 1233, 23779 
15.717989, 36539006, 138404, 38055, 1233, 23781 
15.722741, 36499340, 138258, 38067, 1233, 23781 
15.727496, 36458533, 138114, 38076, 1233, 23785 
15.732257, 36418556, 137958, 38099, 1233, 23787 
15.737021, 36376269, 137803, 38121, 1233, 23789 
15.741800, 36334039, 137682, 38120, 1233, 23789 
15.746575, 36292803, 137551, 38146, 1233, 23790 
15.751342, 36252497, 137396, 38147, 1234, 23792 
15.756125, 36210263, 137237, 38167, 1234, 23794 
15.760914, 36169497, 137095, 38182, 1234, 23794 
15.765706, 36128385, 136961, 38175, 1234, 23797 
15.770496, 36088100, 136834, 38194, 1234, 23797 
15.775302, 36048962, 136670, 38217, 1234, 23798 
15.780108, 36009021, 136532, 38239, 1234, 23798 
15.784918, 35969274, 136345, 38260, 1234, 23798 
15.789735, 35930369, 136199, 38281, 1234, 23802 
15.794564, 35890307, 136055, 38313, 1234, 23804 
15.799400, 35850498, 135904, 38351, 1234, 23806 
15.804235, 35810733, 135765, 38382, 1234, 23808 
15.809086, 35770129, 135605, 38427, 1234, 23811 
15.813923, 35729034, 135432, 38440, 1235, 23811 
15.818783, 35688556, 135277, 38471, 1235, 23815 
15.823646, 35648037, 135120, 38485, 1235, 23816 
15.828520, 35609063, 134964, 38494, 1235, 23818 
15.833384, 35566875, 134814, 38518, 1235, 23818 
15.838257, 35526421, 134681, 38554, 1235, 23819 
15.843140, 35485108, 134548, 38559, 1235, 23822 
15.848030, 35444493, 134382, 38580, 1235, 23823 
15.852923, 35404738, 134214, 38615, 1235, 23823 
15.857817, 35363694, 134076, 38647, 1235, 23825 
15.862732, 35323243, 133917, 38668, 1235, 23825 
15.867637, 35282661, 133760, 38701, 1235, 23827 
15.872552, 35242480, 133623, 38730, 1235, 23830 
15.877470, 35201651, 133485, 38748, 1235, 23831 
15.882393, 35160826, 133307, 38781, 1235, 23831 
15.887322, 35121320, 133141, 38804, 1235, 23833 
15.892259, 35080718, 132988, 38836, 1235, 23836 
15.897203, 35040541, 132852, 38883, 1235, 23837 
15.902161, 35001540, 132695, 38914, 1235, 23838 
15.907116, 34961874, 132555, 38950, 1235, 23840 
15.912080, 34920894, 132413, 38945, 1235, 23840 
15.917040, 34880508, 132268, 38965, 1235, 23840 
15.922011, 34839756, 132116, 38987, 1235, 23841 
15.926994, 34799600, 131959, 39040, 1235, 23842 
15.931979, 34757932, 131799, 39088, 1235, 23842 
15.936967, 34718332, 131669, 39099, 1236, 23846 
15.941953, 34678758, 131500, 39138, 1236, 23847 
15.946958, 34637575, 131357, 39163, 1236, 23850 
15.951965, 34597106, 131230, 39183, 1236, 23851 
15.956977, 34556824, 131055, 39234, 1236, 23852 
15.961993, 34515444, 130905, 39247, 1236, 23852 
15.967007, 34474702, 130772, 39285, 1236, 23853 
15.972037, 34434210, 130623, 39299, 1236, 23854 
15.977072, 34394478, 130467, 39332, 1236, 23854 
15.982112, 34355124, 130364, 39354, 1236, 23854 
15.987156, 34315878, 130200, 39377, 1236, 23855 
15.992219, 34276736, 130052, 39386, 1236, 23855 
15.997273, 34236064, 129911, 39417, 1236, 23855 
16.002333, 34197453, 129782, 39426, 1236, 23856 
16.007407, 34157651, 129654, 39445, 1236, 23858 
16.012481, 34118107, 129514, 39473, 1236, 23860 
16.017565, 34078181, 129387, 39511, 1236, 23861 
16.022650, 34039845, 129233, 39552, 1236, 23861 
16.027744, 34000654, 129078, 39584, 1236, 23863 
16.032843, 33962213, 128914, 39605, 1236, 23865 
16.037942, 33923449, 128795, 39639, 1236, 23865 
16.043055, 33883868, 128649, 39681, 1236, 23866 
16.048164, 33843153, 128489, 39707, 1236, 23867 
16.053286, 33803070, 128297, 39732, 1236, 23868 
16.058420, 33762499, 128150, 39762, 1236, 23869 
16.063550, 33722506, 128029, 39804, 1236, 23870 
16.068686, 33682637, 127870, 39849, 1236, 23871 
16.073834, 33644468, 127705, 39878, 1236, 23874 
16.078993, 33604665, 127574, 39902, 1236, 23876 
16.084153, 33566305, 127429, 39944, 1236, 23878 
16.089310, 33527714, 127298, 39959, 1236, 23879 
16.094476, 33488241, 127137, 39988, 1236, 23880 
16.099651, 33447353, 127001, 40004, 1236, 23882 
16.104837, 33407891, 126831, 40035, 1236, 23884 
16.110032, 33368751, 126653, 40075, 1236, 23885 
16.115225, 33327795, 126518, 40108, 1236, 23887 
16.120432, 33287793, 126355, 40157, 1236, 23887 
16.125638, 33248525, 126177, 40169, 1236, 23887 
16.130866, 33210366, 126022, 40183, 1236, 23888 
16.136084, 33170713, 125880, 40209, 1236, 23890 
16.141314, 33130413, 125747, 40251, 1236, 23890 
16.146539, 33091052, 125594, 40281, 1236, 23890 
16.151780, 33052709, 125417, 40325, 1236, 23893 
16.157014, 33012241, 125274, 40362, 1236, 23895 
16.162264, 32973137, 125145, 40386, 1236, 23896 
16.167528, 32933723, 124984, 40396, 1236, 23900 
16.172791, 32896171, 124847, 40429, 1237, 23901 
16.178057, 32856031, 124693, 40467, 1237, 23903 
16.183325, 32818178, 124539, 40520, 1237, 23903 
16.188605, 32778257, 124406, 40533, 1237, 23905 
16.193892, 32739353, 124236, 40568, 1237, 23907 
16.199189, 32700702, 124102, 40599, 1237, 23911 
16.204494, 32659857, 123920, 40618, 1237, 23913 
16.209797, 32620851, 123789, 40640, 1237, 23915 
16.215109, 32580643, 123635, 40657, 1237, 23915 
16.220448, 32540522, 123499, 40690, 1237, 23915 
16.225769, 32500527, 123353, 40725, 1237, 23915 
16.231101, 32462806, 123180, 40767, 1237, 23920 
16.236440, 32423942, 123025, 40800, 1237, 23923 
16.241787, 32384452, 122877, 40806, 1237, 23923 
16.247145, 32344827, 122733, 40848, 1237, 23924 
16.252506, 32305207, 122587, 40874, 1237, 23925 
16.257881, 32266463, 122457, 40889, 1237, 23927 
16.263265, 32226669, 122301, 40939, 1237, 23927 
16.268650, 32186937, 122146, 40974, 1237, 23927 
16.274029, 32146936, 122005, 41029, 1237, 23927 
16.279417, 32106091, 121856, 41076, 1237, 23927 
16.284820, 32068768, 121738, 41096, 1237, 23928 
16.290216, 32028893, 121581, 41121, 1237, 23931 
16.295628, 31989546, 121442, 41146, 1237, 23932 
16.301049, 31951063, 121305, 41173, 1237, 23934 
16.306480, 31912607, 121166, 41201, 1237, 23935 
16.311902, 31872191, 121033, 41252, 1237, 23935 
16.317340, 31832750, 120884, 41307, 1237, 23937 
16.322779, 31792726, 120733, 41343, 1237, 23938 
16.328231, 31751993, 120585, 41365, 1237, 23944 
16.333702, 31711978, 120430, 41396, 1237, 23946 
16.339175, 31674276, 120258, 41439, 1237, 23947 
16.344648, 31636079, 120126, 41464, 1237, 23947 
16.350133, 31595645, 119986, 41471, 1237, 23949 
16.355612, 31556508, 119848, 41490, 1237, 23951 
16.361094, 31515979, 119722, 41511, 1237, 23953 
16.366598, 31476143, 119594, 41537, 1237, 23954 
16.372107, 31437228, 119456, 41562, 1237, 23954 
16.377609, 31396737, 119298, 41616, 1237, 23954 
16.383132, 31357222, 119153, 41669, 1237, 23954 
16.388658, 31318056, 119021, 41701, 1237, 23956 
16.394194, 31279721, 118884, 41725, 1237, 23958 
16.399724, 31241198, 118765, 41758, 1238, 23960 
16.405276, 31201974, 118613, 41787, 1238, 23963 
16.410828, 31162536, 118436, 41838, 1238, 23964 
16.416384, 31121697, 118305, 41875, 1238, 23966 
16.421965, 31082379, 118180, 41917, 1238, 23971 
16.427541, 31044865, 118028, 41942, 1238, 23972 
16.433121, 31006091, 117882, 41959, 1238, 23975 
16.438715, 30969713, 117715, 41986, 1238, 23976 
16.444316, 30931539, 117578, 42030, 1238, 23977 
16.449918, 30891083, 117436, 42078, 1238, 23978 
16.455530, 30851910, 117302, 42102, 1238, 23979 
16.461134, 30812449, 117142, 42133, 1238, 23980 
16.466767, 30773144, 117008, 42139, 1238, 23983 
16.472399, 30734310, 116850, 42161, 1238, 23986 
16.478047, 30693533, 116698, 42183, 1238, 23988 
16.483688, 30653695, 116556, 42190, 1238, 23989 
16.489340, 30613095, 116372, 42208, 1238, 23991 
16.494996, 30574249, 116233, 42231, 1238, 23995 
16.500652, 30537339, 116098, 42283, 1238, 23995 
16.506325, 30498214, 115945, 42332, 1238, 23995 
16.512010, 30459687, 115776, 42361, 1238, 23995 
16.517704, 30421240, 115629, 42401, 1238, 23995 
16.523413, 30381756, 115488, 42425, 1238, 23995 
16.529116, 30343152, 115352, 42458, 1238, 23997 
16.534823, 30305806, 115194, 42491, 1238, 23999 
16.540537, 30267597, 115049, 42544, 1238, 23999 
16.546262, 30229014, 114915, 42576, 1238, 24000 
16.551996, 30191070, 114772, 42604, 1238, 24000 
16.557732, 30152572, 114649, 42615, 1238, 24002 
16.563483, 30113085, 114499, 42642, 1238, 24003 
16.569233, 30072561, 114354, 42658, 1238, 24003 
16.574997, 30035652, 114195, 42707, 1238, 24004 
16.580761, 29997581, 114087, 42738, 1238, 24007 
16.586532, 29959028, 113954, 42777, 1238, 24010 
16.592310, 29920637, 113778, 42805, 1238, 24010 
16.598094, 29882294, 113641, 42848, 1238, 24010 
16.603894, 29841708, 113492, 42917, 1238, 24011 
16.609699, 29805437, 113367, 42936, 1238, 24012 
16.615513, 29766415, 113226, 42992, 1238, 24013 
16.621329, 29728467, 113078, 43034, 1238, 24015 
16.627148, 29690445, 112932, 43050, 1238, 24016 
16.632978, 29651681, 112788, 43057, 1238, 24019 
16.638822, 29613258, 112660, 43070, 1238, 24022 
16.644661, 29573049, 112508, 43096, 1238, 24024 
16.650518, 29534286, 112341, 43133, 1238, 24024 
16.656381, 29496785, 112218, 43170, 1238, 24024 
16.662256, 29455916, 112069, 43185, 1238, 24026 
16.668138, 29417711, 111939, 43214, 1238, 24030 
16.674026, 29377795, 111760, 43258, 1238, 24032 
16.679925, 29340296, 111629, 43281, 1238, 24034 
16.685828, 29303311, 111493, 43331, 1238, 24036 
16.691735, 29264951, 111341, 43347, 1239, 24040 
16.697653, 29228485, 111176, 43376, 1239, 24042 
16.703564, 29190350, 111022, 43411, 1239, 24043 
16.709502, 29152757, 110890, 43472, 1239, 24044 
16.715457, 29111668, 110730, 43508, 1239, 24048 
16.721412, 29072639, 110588, 43509, 1239, 24050 
16.727363, 29035450, 110426, 43542, 1239, 24051 
16.733325, 28996451, 110293, 43587, 1239, 24052 
16.739297, 28958598, 110160, 43609, 1239, 24054 
16.745282, 28919018, 109979, 43630, 1239, 24055 
16.751257, 28879247, 109845, 43676, 1239, 24055 
16.757234, 28839956, 109701, 43723, 1239, 24057 
16.763252, 28801134, 109561, 43759, 1239, 24059 
16.769256, 28762408, 109419, 43793, 1239, 24060 
16.775288, 28724861, 109291, 43814, 1239, 24060 
16.781315, 28686327, 109175, 43839, 1239, 24061 
16.787347, 28646582, 109039, 43861, 1239, 24061 
16.793389, 28609232, 108891, 43903, 1239, 24063 
16.799436, 28569636, 108753, 43934, 1239, 24065 
16.805497, 28530285, 108617, 43968, 1239, 24066 
16.811562, 28492500, 108460, 44012, 1239, 24066 
16.817637, 28453688, 108321, 44038, 1239, 24067 
16.823717, 28416083, 108158, 44091, 1239, 24073 
16.829812, 28376234, 107994, 44128, 1239, 24073 
16.835912, 28337385, 107866, 44145, 1239, 24073 
16.842016, 28298753, 107712, 44193, 1239, 24073 
16.848134, 28260088, 107574, 44212, 1239, 24074 
16.854264, 28223061, 107439, 44246, 1239, 24076 
16.860396, 28184064, 107287, 44303, 1239, 24077 
16.866533, 28146987, 107139, 44316, 1239, 24078 
16.872681, 28108011, 106996, 44372, 1239, 24079 
16.878845, 28070272, 106842, 44408, 1239, 24079 
16.885012, 28032157, 106702, 44405, 1239, 24079 
16.891176, 27993829, 106579, 44422, 1239, 24080 
16.897348, 27954536, 106449, 44473, 1239, 24081 
16.903536, 27917577, 106296, 44509, 1239, 24084 
16.909732, 27880241, 106153, 44551, 1239, 24085 
16.915940, 27840992, 106000, 44611, 1239, 24085 
16.922151, 27802857, 105868, 44677, 1240, 24086 
16.928371, 27764657, 105718, 44725, 1240, 24089 
16.934611, 27725686, 105577, 44762, 1240, 24089 
16.940856, 27687992, 105470, 44796, 1240, 24090 
16.947111, 27647792, 105323, 44836, 1240, 24092 
16.953378, 27608598, 105185, 44860, 1240, 24093 
16.959644, 27572362, 105020, 44888, 1240, 24094 
16.965926, 27532983, 104890, 44944, 1240, 24094 
16.972203, 27494801, 104750, 44962, 1240, 24095 
16.978497, 27457993, 104619, 44998, 1240, 24095 
16.984792, 27419548, 104446, 45034, 1240, 24096 
16.991103, 27382946, 104291, 45096, 1240, 24097 
16.997417, 27345642, 104148, 45109, 1240, 24098 
17.003749, 27307515, 103993, 45154, 1240, 24101 
17.010083, 27269514, 103827, 45217, 1240, 24104 
17.016420, 27231581, 103695, 45253, 1240, 24108 
17.022770, 27192991, 103560, 45281, 1240, 24109 
